company,date,year,month,close
PNJ,2022-06-01,2022,6,58994.0
PNJ,2022-07-01,2022,7,52337.0
PNJ,2022-08-01,2022,8,52705.0
PNJ,2022-09-01,2022,9,49124.0
PNJ,2022-10-01,2022,10,47793.0
PNJ,2022-11-01,2022,11,52512.0
PNJ,2022-12-01,2022,12,55443.0
PNJ,2023-01-01,2023,1,56003.0
PNJ,2023-02-01,2023,2,47745.0
PNJ,2023-03-01,2023,3,48242.0
PNJ,2023-04-01,2023,4,47808.0
PNJ,2023-05-01,2023,5,44020.0
PNJ,2023-06-01,2023,6,46956.0
PNJ,2023-07-01,2023,7,51964.0
PNJ,2023-08-01,2023,8,50399.0
PNJ,2023-09-01,2023,9,49335.0
PNJ,2023-10-01,2023,10,45556.0
PNJ,2023-11-01,2023,11,50934.0
PNJ,2023-12-01,2023,12,54414.0
PNJ,2024-01-01,2024,1,57894.0
PNJ,2024-02-01,2024,2,57198.0
PNJ,2024-03-01,2024,3,62947.0
PNJ,2024-04-01,2024,4,60465.0
PNJ,2024-05-01,2024,5,59765.0
PNJ,2024-06-01,2024,6,60783.0
PNJ,2024-07-01,2024,7,61801.0
PNJ,2024-08-01,2024,8,65047.0
PNJ,2024-09-01,2024,9,62883.0
PNJ,2024-10-01,2024,10,61207.0
PNJ,2024-11-01,2024,11,59980.0
PNJ,2024-12-01,2024,12,63208.0
PNJ,2025-01-01,2025,1,63014.0
PNJ,2025-02-01,2025,2,61063.0
PNJ,2025-03-01,2025,3,54112.0
PNJ,2025-04-01,2025,4,46187.0
PNJ,2025-05-01,2025,5,53592.0
PNJ,2025-06-01,2025,6,53982.0
PNJ,2025-07-01,2025,7,54826.0
PNJ,2025-08-01,2025,8,55606.0
PNJ,2025-09-01,2025,9,54871.0
PNJ,2025-10-01,2025,10,62464.0
PNJ,2025-11-01,2025,11,60087.0
PNJ,2025-12-01,2025,12,64049.00000000001
SSI,2020-01-01,2020,1,4645.0
SSI,2020-02-01,2020,2,4173.0
SSI,2020-03-01,2020,3,3044.0
SSI,2020-04-01,2020,4,3958.0
SSI,2020-05-01,2020,5,4506.0
SSI,2020-06-01,2020,6,4506.0
SSI,2020-07-01,2020,7,4388.0
SSI,2020-08-01,2020,8,4825.0
SSI,2020-09-01,2020,9,5489.0
SSI,2020-10-01,2020,10,5538.0
SSI,2020-11-01,2020,11,6234.0
SSI,2020-12-01,2020,12,10719.0
SSI,2021-01-01,2021,1,9326.0
SSI,2021-02-01,2021,2,10751.0
SSI,2021-03-01,2021,3,10282.0
SSI,2021-04-01,2021,4,10557.0
SSI,2021-05-01,2021,5,14378.0
SSI,2021-06-01,2021,6,18154.0
SSI,2021-07-01,2021,7,18022.0
SSI,2021-08-01,2021,8,20399.0
SSI,2021-09-01,2021,9,19585.0
SSI,2021-10-01,2021,10,19513.0
SSI,2021-11-01,2021,11,26932.0
SSI,2021-12-01,2021,12,24957.0
SSI,2022-01-01,2022,1,21705.0
SSI,2022-02-01,2022,2,22018.0
SSI,2022-03-01,2022,3,20235.0
SSI,2022-04-01,2022,4,16164.000000000002
SSI,2022-05-01,2022,5,14285.0
SSI,2022-06-01,2022,6,10026.0
SSI,2022-07-01,2022,7,11386.0
SSI,2022-08-01,2022,8,12799.0
SSI,2022-09-01,2022,9,10560.0
SSI,2022-10-01,2022,10,8693.0
SSI,2022-11-01,2022,11,10266.0
SSI,2022-12-01,2022,12,9440.0
SSI,2023-01-01,2023,1,11519.0
SSI,2023-02-01,2023,2,9733.0
SSI,2023-03-01,2023,3,11466.0
SSI,2023-04-01,2023,4,11493.0
SSI,2023-05-01,2023,5,12346.0
SSI,2023-06-01,2023,6,14301.0
SSI,2023-07-01,2023,7,16436.0
SSI,2023-08-01,2023,8,18514.0
SSI,2023-09-01,2023,9,17627.0
SSI,2023-10-01,2023,10,14274.0
SSI,2023-11-01,2023,11,17350.0
SSI,2023-12-01,2023,12,18182.0
SSI,2024-01-01,2024,1,19069.0
SSI,2024-02-01,2024,2,20510.0
SSI,2024-03-01,2024,3,21341.0
SSI,2024-04-01,2024,4,19512.0
SSI,2024-05-01,2024,5,19235.0
SSI,2024-06-01,2024,6,18819.0
SSI,2024-07-01,2024,7,17627.0
SSI,2024-08-01,2024,8,18680.0
SSI,2024-09-01,2024,9,19810.0
SSI,2024-10-01,2024,10,18887.0
SSI,2024-11-01,2024,11,17431.0
SSI,2024-12-01,2024,12,18496.0
SSI,2025-01-01,2025,1,17928.0
SSI,2025-02-01,2025,2,18674.0
SSI,2025-03-01,2025,3,18461.0
SSI,2025-04-01,2025,4,16295.000000000002
SSI,2025-05-01,2025,5,16650.0
SSI,2025-06-01,2025,6,17538.0
SSI,2025-07-01,2025,7,24283.0
SSI,2025-08-01,2025,8,29963.0
SSI,2025-09-01,2025,9,28068.0
SSI,2025-10-01,2025,10,24973.0
SSI,2025-11-01,2025,11,23881.0
SSI,2025-12-01,2025,12,24179.0
