company,year,goal01,goal02,goal03,goal04,goal05,goal06,goal07,goal08,goal09,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
SSI,2022,46.71,44.79,42.15,44.65,38.89,41.29,47.56,47.38,49.03,45.46,43.77,46.53,43.6,44.07,45.81,46.17,51.73
SSI,2023,45.87,43.97,41.51,44.24,38.58,40.4,46.84,46.64,48.28,44.89,43.3,45.89,42.64,43.21,44.97,45.58,50.93
SSI,2024,47.67,46.07,43.33,46.42,40.63,42.74,48.12,48.71,50.08,46.68,44.9,47.94,44.74,45.48,47.89,47.94,52.42
SSI,2025,42.77,38.86,40.12,38.81,32.76,37.93,47.3,43.13,46.18,43.51,40.59,42.28,41.22,41.79,40.2,44.28,47.17
VCS,2020,47.91,46.32,44.73,46.6,40.41,45.54,50.32,49.63,51.78,46.08,46.13,50.98,46.45,47.08,47.9,47.71,53.03
VCS,2021,48.14,46.53,44.69,46.91,40.58,45.27,50.89,49.95,52.01,46.24,46.47,51.09,46.5,47.08,48.04,47.98,53.58
VCS,2022,46.6,45.26,43.81,45.85,39.46,44.16,50.54,48.99,50.98,45.28,45.63,50.62,45.5,46.19,46.93,46.87,52.2
VCS,2023,47.31,45.87,44.06,46.25,40.01,45.24,50.43,49.15,51.12,45.44,46.12,51.01,45.97,46.79,47.65,46.99,52.54
VCS,2024,47.25,46.27,44.28,46.49,39.6,44.71,51.05,49.48,51.55,45.61,46.44,51.24,46.22,46.68,47.81,47.34,52.9
VCS,2025,48.8,47.78,45.85,47.23,40.22,46.03,52.8,50.84,52.96,47.38,47.95,53.18,48.6,48.1,50.1,49.25,54.33
VNM,2020,41.41,40.5,39.31,39.98,35.01,39.25,45.09,42.87,44.15,40.98,40.27,44.06,40.37,41.03,42.09,41.38,46.11
VNM,2021,41.79,40.92,39.77,40.04,35.42,38.92,44.88,43.45,44.31,41.06,40.27,44.32,40.61,40.91,41.98,41.42,45.97
VNM,2022,40.86,40.86,39.15,39.9,35.16,40.0,44.35,42.71,43.67,40.68,39.94,44.3,40.72,41.46,42.58,40.85,45.25
VNM,2023,43.79,44.15,41.39,42.85,37.87,42.43,46.67,45.31,46.23,42.85,42.19,46.99,42.54,43.36,45.66,42.95,48.45
VNM,2024,43.9,44.55,41.56,43.1,37.68,42.45,46.9,45.55,46.51,43.11,42.75,47.35,42.92,43.67,46.46,43.39,48.74
VNM,2025,46.37,47.04,43.38,44.82,39.3,45.08,48.62,47.75,48.54,45.19,44.67,49.62,45.36,46.0,49.21,45.54,50.67
