company,date,year,month,close,Ratio,phan_ung,price_change_pct,sentiment_ratio_change_pct,price_idx,ratio_idx
PNJ,2021-11-01,2021,11,44186.0,4.483870967741935,None,20.67,-5.74,120.72677595628416,94.26073972687962
PNJ,2021-12-01,2021,12,43690.0,4.483870967741935,None,20.67,-5.74,119.37158469945355,94.26073972687962
PNJ,2022-01-01,2022,1,47232.0,1.21455938697318,None,26.9,-72.91,129.04918032786884,25.532685280631945
PNJ,2022-02-01,2022,2,46778.0,1.21455938697318,None,26.9,-72.91,127.8087431693989,25.532685280631945
PNJ,2022-03-01,2022,3,50467.0,1.21455938697318,None,26.9,-72.91,137.8879781420765,25.532685280631945
PNJ,2022-04-01,2022,4,49325.0,1.21455938697318,None,26.9,-72.91,134.76775956284152,25.532685280631945
PNJ,2022-05-01,2022,5,52476.0,1.21455938697318,None,26.9,-72.91,143.37704918032787,25.532685280631945
PNJ,2022-06-01,2022,6,58994.0,1.21455938697318,None,26.9,-72.91,161.1857923497268,25.532685280631945
PNJ,2022-07-01,2022,7,52337.0,1.21455938697318,None,26.9,-72.91,142.99726775956285,25.532685280631945
PNJ,2022-08-01,2022,8,52705.0,1.21455938697318,None,26.9,-72.91,144.00273224043715,25.532685280631945
PNJ,2022-09-01,2022,9,49124.0,1.21455938697318,None,26.9,-72.91,134.21857923497268,25.532685280631945
PNJ,2022-10-01,2022,10,47793.0,1.21455938697318,None,26.9,-72.91,130.58196721311475,25.532685280631945
PNJ,2022-11-01,2022,11,52512.0,1.21455938697318,None,26.9,-72.91,143.47540983606558,25.532685280631945
PNJ,2022-12-01,2022,12,55443.0,1.21455938697318,None,26.9,-72.91,151.48360655737704,25.532685280631945
PNJ,2023-01-01,2023,1,56003.0,4.2303030303030305,None,-1.86,248.3,153.0136612021858,88.93018906519389
PNJ,2023-02-01,2023,2,47745.0,4.2303030303030305,None,-1.86,248.3,130.45081967213116,88.93018906519389
PNJ,2023-03-01,2023,3,48242.0,4.2303030303030305,None,-1.86,248.3,131.8087431693989,88.93018906519389
PNJ,2023-04-01,2023,4,47808.0,4.2303030303030305,None,-1.86,248.3,130.62295081967213,88.93018906519389
PNJ,2023-05-01,2023,5,44020.0,4.2303030303030305,None,-1.86,248.3,120.27322404371586,88.93018906519389
PNJ,2023-06-01,2023,6,46956.0,4.2303030303030305,None,-1.86,248.3,128.29508196721312,88.93018906519389
PNJ,2023-07-01,2023,7,51964.0,4.2303030303030305,None,-1.86,248.3,141.97814207650273,88.93018906519389
PNJ,2023-08-01,2023,8,50399.0,4.2303030303030305,None,-1.86,248.3,137.70218579234972,88.93018906519389
PNJ,2023-09-01,2023,9,49335.0,4.2303030303030305,None,-1.86,248.3,134.7950819672131,88.93018906519389
PNJ,2023-10-01,2023,10,45556.0,4.2303030303030305,None,-1.86,248.3,124.46994535519124,88.93018906519389
PNJ,2023-11-01,2023,11,50934.0,4.2303030303030305,None,-1.86,248.3,139.16393442622953,88.93018906519389
PNJ,2023-12-01,2023,12,54414.0,4.2303030303030305,None,-1.86,248.3,148.672131147541,88.93018906519389
PNJ,2024-01-01,2024,1,57894.0,3.568093385214008,None,16.16,-15.65,158.18032786885246,75.00909912986053
PNJ,2024-02-01,2024,2,57198.0,3.568093385214008,None,16.16,-15.65,156.27868852459017,75.00909912986053
PNJ,2024-03-01,2024,3,62947.0,3.568093385214008,None,16.16,-15.65,171.9863387978142,75.00909912986053
PNJ,2024-04-01,2024,4,60465.0,3.568093385214008,None,16.16,-15.65,165.2049180327869,75.00909912986053
PNJ,2024-05-01,2024,5,59765.0,3.568093385214008,None,16.16,-15.65,163.29234972677597,75.00909912986053
PNJ,2024-06-01,2024,6,60783.0,3.568093385214008,None,16.16,-15.65,166.0737704918033,75.00909912986053
